,497
672,513
672,502
671,499
673,499
672,501
670,504
669,505
671,512
673,497
675,505
670,505
674,501
671,504
673,501
670,510
672,503
672,502
671,501
671,501
672,502
673,507
674,509
670,505
671,498
669,501
674,514
670,501
672,507
671,500
672,507
673,504
673,500
673,515
671,497
673,499
672,497
672,498
671,504
673,496
670,504
672,512
671,494
672,504
671,508
672,503
672,507
669,499
671,505
670,502
674,502
673,512
674,502
672,503
673,506
671,504
673,504
674,501
670,510
671,507
671,501
673,500
671,503
670,503
671,507
671,501
673,505
673,498
671,500
672,516
675,498
673,509
671,501
672,506
671,507
675,498
674,514
673,497
670,502
672,500
670,500
672,507
672,499
674,507
673,501
672,499
673,507
671,509
670,502
671,506
670,498
670,507
671,500
669,504
671,514
671,496
672,506
672,499
672,502
671,502
671,499
673,513
673,505
670,502
673,500
671,500
672,503
672,507
671,503
671,504
671,498
674,502
672,518
673,500
672,512
674,497
672,502
674,509
671,503
672,519
672,500
674,502
672,502
673,500
674,503
673,510
673,507
673,501
672,500
672,502
669,506
675,500
672,505
673,499
673,506
671,499
672,504
673,510
672,502
672,506
671,497
673,505
671,502
671,496
669,508
673,505
670,504
673,498
673,501
673,503
675,506
671,505
673,503
670,496
673,503
672,516
672,500
670,506
671,504
673,506
670,501
672,503
672,518
670,491
674,505
671,503
671,501
670,507
671,502
671,508
671,509
675,503
672,502
672,506
670,508
672,504
673,502
671,504
670,499
671,499
673,509
672,497
671,503
672,498
669,501
672,503
674,495
672,510
672,498
670,502
673,494
672,498
671,505
673,501
669,505
670,503
671,499
671,503
672,511
671,505
670,511
672,501
673,506
670,506
674,503
669,516
672,495
672,508
674,505
674,501
672,504
670,500
674,510
672,508
670,498
671,504
673,507
671,503
673,515
669,501
671,501
669,499
672,500
671,510
670,497
671,506
673,497
670,502
672,501
671,507
671,512
670,501
672,501
669,497
671,495
673,507
673,499
671,506
673,502
671,493
673,507
672,509
673,501
672,509
670,499
671,506
671,503
672,501
671,517
673,501
672,503
674,509
671,502
670,503
670,502
673,510
672,505
672,501
671,505
673,504
673,502
672,508
672,500
672,505
671,497
671,503
673,511
673,499
671,508
672,498
672,499
672,499
673,499
672,516
671,498
671,501
670,498
669,498
670,505
672,498
672,505
673,502
670,501
671,503
671,510
668,505
671,507
670,496
671,502
672,502
672,501
670,512
669,499
670,501
673,500
671,502
670,504
671,500
668,510
672,506
669,501
672,500
671,501
670,504
672,491
669,503
672,506
672,497
670,500
672,515
670,500
672,506
672,501
675,502
669,510
672,501
672,513
671,501
671,503
672,501
672,499
671,504
670,499
673,506
671,503
670,498
672,502
671,501
671,501
672,506
672,497
670,506
671,500
670,504
671,514
672,494
673,508
672,500
668,503
672,505
670,493
672,513
672,507
671,500
670,500
672,500
672,503
671,507
669,504
672,500
671,497
675,508
671,515
671,499
673,509
671,499
674,504
672,507
670,501
671,515
670,499
673,503
672,504
670,498
671,506
672,498
672,506
671,507
671,497
671,502
671,506
673,498
672,507
672,501
672,507
671,495
674,500
671,511
672,496
671,507
671,499
672,504
672,502
671,495
673,509
672,499
673,505
673,498
672,511
671,506
669,504
671,502
671,503
672,502
671,500
672,504
671,502
671,513
670,505
672,503
672,508
672,503
671,518
671,497
673,505
670,506
672,506
672,519
671,501
672,512
670,508
674,500
672,503
675,511
674,503
673,508
673,501
673,514
670,500
672,498
671,515
673,499
674,506
669,499
673,502
672,503
674,501
672,515
673,510
672,506
670,499
674,498
672,507
671,503
672,514
671,501
673,497
671,504
673,507
672,505
672,502
673,502
674,505
674,504
673,502
672,518
675,498
670,507
671,502
672,504
671,508
671,501
671,512
672,510
671,504
675,505
675,505
674,504
672,514
674,501
672,503
672,498
672,501
674,515
673,499
671,510
675,500
673,503
672,504
673,504
671,516
674,506
672,503
671,499
673,500
673,509
673,500
672,508
671,502
670,499
671,501
674,505
671,502
671,507
672,495
671,505
674,506
671,505
672,513
673,498
672,505
674,496
672,503
672,504
673,501
673,512
673,506
671,503
671,505
674,505
673,508
672,510
674,504
674,513
672,498
672,505
672,517
674,499
672,508
672,500
673,504
669,508
672,500
671,517
674,502
672,505
672,502
672,504
671,507
670,500
671,506
673,502
672,498
672,503
670,506
673,501
672,509
672,500
673,502
673,498
671,504
675,513
673,495
671,508
672,501
671,507
672,504
674,500
674,512
673,504
671,505
674,503
669,502
672,506
674,507
672,505
674,509
673,500
672,499
672,517
673,505
672,512
672,500
674,509
672,508
673,506
675,518
674,499
673,508
674,501
672,504
675,504
672,505
672,508
672,505
673,498
675,505
671,505
672,503
675,508
673,500
673,504
672,504
671,499
671,515
672,502
673,508
673,498
677,505
671,505
672,498
671,515
672,503
672,505
670,501
673,499
672,508
672,505
671,506
672,506
671,501
673,502
675,517
671,501
669,515
672,500
676,504
673,510
671,503
672,519
669,499
672,504
673,505
672,503
674,504
671,509
674,510
671,509
672,499
674,499
672,508
673,503
674,508
672,506
674,509
672,502
675,512
672,509
672,495
674,509
670,496
672,503
673,504
672,500
671,514
672,501
674,504
673,507
670,497
673,505
673,502
672,505
672,512
671,496
675,502
675,511
673,504
672,512
673,501
673,506
672,504
673,497
674,517
673,500
673,505
671,505
675,503
670,510
669,503
673,512
672,512
670,502
671,502
671,506
673,505
671,509
674,501
671,507
674,502
673,502
673,518
676,498
673,510
671,504
671,505
671,503
673,500
675,515
672,499
671,504
672,498
671,501
672,503
673,498
672,504
672,505
671,496
674,502
673,516
671,504
672,509
673,501
671,506
674,505
671,503
672,518
671,498
674,505
673,503
674,503
673,508
672,505
674,513
672,503
672,502
672,506
673,505
671,503
671,506
674,502
672,508
675,500
673,507
672,519
673,502
673,510
672,501
673,504
671,505
673,502
672,517
671,501
670,501
669,499
671,498
670,501
670,497
670,504
670,501
671,494
669,499
671,509
669,497
669,503
670,500
668,501
672,499
669,494
669,507
669,490
670,504
670,498
669,499
669,503
668,494
668,503
670,509
669,499
672,498
670,497
669,497
671,498
672,500
670,497
667,494
669,494
672,515
669,495
666,504
668,495
669,499
671,507
669,494
669,509
670,502
667,499
669,502
668,494
671,498
668,499
669,495
671,504
669,491
668,492
667,511
670,494
668,501
670,492
670,498
667,500
669,494
669,502
667,489
668,499
669,498
667,497
669,498
667,490
669,505
666,503
668,495
668,490
669,496
666,496
670,497
667,498
669,496
668,493
667,493
669,515
667,496
671,500
667,495
667,499
669,509
669,488
672,508
667,498
666,496
669,504
669,498
668,497
668,495
666,498
669,504
668,492
669,491
668,508
667,494
668,496
668,494
667,496
668,496
666,493
666,506
668,502
668,500
667,502
667,491
668,490
668,487
670,504
668,500
669,494
668,494
666,490
666,498
668,496
668,498
669,498
666,487
667,496
667,517
670,493
667,506
667,494
670,497
666,504
669,492
667,505
668,493
665,497
670,501
667,495
669,497
667,491
668,505
666,509
670,492
667,489
666,509
666,493
666,498
668,492
668,496
668,502
669,490
668,509
665,489
669,499
667,499
669,489
668,502
666,492
670,505
666,497
669,494
666,491
665,489
669,498
670,490
667,498
666,502
665,487
669,492
665,513
665,496
667,500
669,488
671,497
669,504
670,495
669,512
670,490
667,496
667,500
670,495
668,497
668,492
666,504
668,507
668,493
669,492
667,502
668,494
669,499
669,494
667,496
667,496
669,492
668,515
669,492
668,498
667,500
668,491
667,503
669,490
666,506
667,500
667,496
668,494
669,493
667,494
664,492
666,498
665,493
669,487
669,490
668,509
666,494
664,499
670,491
668,497
668,503
667,499
668,508
670,490
666,499
667,504
669,496
669,499
670,491
668,503
668,505
669,494
669,491
668,502
669,491
668,499
667,497
667,498
669,499
669,491
666,517
668,493
669,500
668,496
667,493
668,500
669,486
666,509
669,501
667,493
666,497
667,494
668,498
670,498
666,499
667,498
668,492
668,506
668,508
668,491
669,498
667,492
670,495
666,500
668,495
668,514
667,485
669,501
669,506
667,498
668,499
667,493
666,504
670,506
669,494
668,493
669,496
666,497
667,504
670,494
667,500
669,493
668,494
668,516
670,491
666,501
670,498
667,498
670,505
670,503
667,504
669,500
669,495
669,500
669,492
668,497
670,496
668,499
668,503
668,491
668,500
669,503
667,492
668,499
668,491
670,498
668,501
667,495
668,505
668,490
668,498
668,502
669,495
666,502
667,484
667,505
670,502
666,496
669,491
666,493
668,496
668,494
669,495
670,495
667,492
668,493
667,517
667,496
668,503
666,495
669,494
670,506
668,495
669,506
668,493
671,499
667,506
669,494
666,498
668,495
667,504
669,501
667,493
669,495
666,504
670,494
669,499
666,495
668,497
667,500
667,490
669,507
665,489
668,500
669,500
667,496
667,497
670,485
668,506
669,500
667,496
667,494
666,487
669,498
668,494
666,499
668,499
668,494
669,493
667,514
667,495
668,502
667,489
668,498
667,507
668,496
668,511
669,493
668,498
669,509
671,497
668,498
669,492
667,504
668,508
668,492
666,495
667,509
668,496
667,502
667,498
669,496
666,500
670,490
670,513
670,494
670,500
669,498
669,494
668,501
666,489
669,508
666,498
671,491
668,494
668,492
666,501
667,490
668,500
667,499
668,490
668,493
670,505
667,498
666,501
667,490
672,496
669,505
668,498
666,506
668,493
669,497
670,498
666,495
667,499
667,489
668,508
668,508
668,494
666,492
667,503
670,496
669,501
668,492
668,494
667,495
668,492
668,512
669,493
670,501
668,499
666,495
668,504
670,492
668,501
668,497
669,496
668,497
669,494
669,498
668,493
667,497
667,501
669,491
668,495
665,499
670,494
669,502
668,491
667,497
668,503
671,494
669,508
668,
